Year,Month,outflow,t,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,C1t,C2t,C3t,C4t,C1tm1,C2tm1,C3tm1,C4tm1
2003,1,8146.7881,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,8685.1448,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,9055.871675,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,9598.85495,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,12050.57845,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,11777.8779,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,11779.8875,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,12184.9334,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,11370.19758,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,10,13937.47633,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2003,11,21921.928,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2003,12,13948.71165,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,1,10977.44913,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,9468.3116,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,12778.39485,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,14790.23486,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5,12889.2384,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
